Type,IP Address/Domain,Source
Callback Domains,ldap://167.71.13.196:2222/lx-ffff68d38b89bb01080dddb66100000000291893,GitHub
Callback Domains,ldap://167.71.13.196:443/lx-ffffac690875401f08fc05b8610000000099cdb6,GitHub
Callback Domains,ldap://167.71.13.196:443/lx-ffffa83d233ab8220841c4b661000000009f0ed1,GitHub
Callback Domains,ldaps://lx-ffff3fe775ebbb0108013cb661000000000fed69.probe001.log4j.leakix.net:12333/b,GitHub
Callback Domains,ldaps://lx-ffff3fe7755ebb0108543db6610000000039331b.probe001.log4j.leakix.net:4344/b,GitHub
Callback Domains,ldaps://lx-ffff3fe7755ebb0108573db66100000000c4faed.probe001.log4j.leakix.net:4344/b,GitHub
Callback Domains,ldaps://lx-ffff3fe775acbb01087941b661000000000f65aa.probe001.log4j.leakix.net:123/b,GitHub
Callback Domains,ldap://167.71.13.196:2222/lx-ffffc63a68debb010830f5b761000000008ef9de,GitHub
Callback Domains,ldaps://4012e04b.probe001.log4j.leakix.net:443/b,GitHub
Callback Domains,ldaps://f60aa649.probe001.log4j.leakix.net:9200/b,GitHub
Callback Domains,ldaps://cda0224b.probe001.log4j.leakix.net:9200/b,GitHub
Callback Domains,ldaps://lx-ffff3fe7757dbb08febab56100000000d1ea53.probe001.log4j.leakix.net:443/b,GitHub
Callback Domains,ldap://167.71.13.196:2222/lx-ffff3fe77569901f081b88b761000000007b0d9e,GitHub
Callback Domains,ldap://167.71.13.196:2222/lx-ffff3fe7755cbb0108a210b8610000000061170a,GitHub
Callback Domains,ldap://167.71.13.196:2222/lx-ffff3fe775affb2008cb27b76100000000d7c5fc,GitHub
